conformation_lmdb_key,source_lmdb_key,pdb_id,sequence_length,sequence_sha256,n_conformations,source_disorder_source,source_is_idp,source_disorder_fraction,evidence_tier,exact_disprot_sequence_match,disprot_ids,disprot_accessions,disorder_residues,disorder_fraction,longest_disorder_region,disorder_region_count
00000000,00000000,af2_val_0_84860,54,a6cfb329e465e0fb59876a34a0cab00de6cad6440b8ab67c6caabce399b46de8,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000001,00000001,G8HXD9,56,afb1432d75af40a2d5cef97e7e276f6f5af68af4b98c494b7d4ac3cc5d9bcca1,5,ebi_mobidb_lite,True,0.5357142686843872,experimentally_curated_fully_disordered,True,DP00878,G8HXD9,56,1.0,29,2
00000002,00000002,af2_val_0_55482,56,7e859d82171047700fd3e9632f7a47eab4a39baedc8c3316d2fc62d3ce2260bb,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000003,00000003,af2_val_0_31216,57,338cff411614c3a03141de204ac850414b52a11ea1e0a32ac6812a61713d3823,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000004,00000004,A0A0H2UWN8,60,26804052cc466121c5d717ba403b032e55421149bbb8316935fe9695990d5442,5,af2_plddt_fallback,True,1.0,experimentally_curated_fully_disordered,True,DP04243,A0A0H2UWN8,60,1.0,60,2
00000005,00000005,A0A0H3CFC9,61,7dce5ab303a0b3c692708bc3e9863bfd7bfdc85f4a58810e9b7d5d31bf9679fa,5,af2_plddt_fallback,True,1.0,experimentally_curated_partially_disordered,True,DP00987,A0A0H3CFC9,22,0.36065573770491804,22,1
00000006,00000006,af2_val_0_11924,63,fbd7b852428f5351c4dce3dedf7b9e0cd8e80fad7d77f867a0481fa2486c4f5b,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000007,00000007,A0A936SUR2,64,5a62d536bc2c3fff5dcc4b08ddddac6f1bac7464ab658f06e4ea2c8568076685,5,af2_plddt_fallback,True,1.0,experimentally_curated_fully_disordered,True,DP04431,A0A936SUR2,64,1.0,64,1
00000008,00000008,A0A068MVV3,65,cfc83b720373ba59f5256a85ce4852e94d707b4dc01a7540d461dca2deca191a,5,af2_plddt_fallback,True,1.0,experimentally_curated_fully_disordered,True,DP01148,A0A068MVV3,65,1.0,65,3
00000009,00000009,af2_val_0_64012,67,27d80e68627641f5e24efced906e06a7d8309055a4ec509a9ff9f2cb621b27c7,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000010,00000010,O00244,68,c38e8a0305e2b0014c920c0524707b2f96d771364ab9d78b32d071b39d10afea,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000011,00000011,O15239,70,f265575e5187e015a53835095d4db9fb48c73567aa5791a8f8cfac53f2d6b52a,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000012,00000012,af2_val_0_03406,70,816b4dd2abb80dfe6f492a91c1cb018d19eb581fe74c1773b6a91fdf2d38ba7e,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000013,00000013,Q3MUY2,71,2d015c2fe5d997d61de5d57f49d376f7bac091b296243bcf3722a28a97953306,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000014,00000014,A0MHA3,71,c8d9d24bb2c7f912258b0ad3aa5270e113c127d74d1e41be1daf9e86c6942c1c,5,af2_plddt_fallback,True,1.0,experimentally_curated_partially_disordered,True,DP00918,A0MHA3,29,0.4084507042253521,29,1
00000015,00000015,P62308,76,7ca34fc76f2082be177e944e527f827c4ec20ee4b910601401a7d2289586599c,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000016,00000016,P00995,79,2f17f5ddb7fe12bbce022c3ceefd40143ba0db8da4ac5edd089e2d77e684e047,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000017,00000017,P61024,79,5eacfaa833f657c7552f7dc1fcb8412921fe75c09606c4e038e13fb21bc84c0b,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000018,00000018,Q15843,81,1048fa6680328ac4881db03c81f5c56f9ce035af26ba70a03a476ca6ba8c88d3,5,folded,,0.0,experimentally_curated_short_disorder,True,DP02302,Q15843,13,0.16049382716049382,13,1
00000019,00000019,O00483,81,d27ec74e8b8316619ff76d7b3687004435111caf66823026411040dc7c2e897c,5,folded,False,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000020,00000020,Q9NYG5,84,6b424970e33e58593bc2c22adac3ae46fd01e1c34e53e5432328884777cc697f,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000021,00000021,P61960,85,10517155fd8109a88908ca50e3fe6c57b00db7bf49a391ede9cd383f20a6b015,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000022,00000022,P49458,86,a65d8b34f517d01d508316b1dcd6a4f7d6de26de58607b25a4ca2e38d04d5ad1,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000023,00000023,af2_val_0_35022,87,673e23357a9f9207715eff2eef81e634df3e976eb39fed74bc8e8971500faf7e,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000024,00000024,O96033,88,53940452e16bd90b996d8de45f64ed8cb931137001f90cac4f3d8a3dfcb7c39f,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000025,00000025,Q8WXC3,89,18cd11be20b7fa7a9da1501a12cf7368f0546c13252cff83250f999c8b1858dd,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000026,00000026,af2_val_0_81041,89,e54ef0b3893bf8fd606f2a0ac75a4994dbf9bbab3d24c45f8e5cdcef8925a101,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000027,00000027,P06703,90,f1b80d54ece8688a10846faa217dfd41605378108f530ec216e92dff6141aa3f,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000028,00000028,Q9H503,90,4e11dcf2fa71122b5ded4f5014782284e8d7d1df7c6b3f4cd0334fa8bef60f0f,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000029,00000029,P57730,90,0486d3fa4030a126c13691c9ef43f6ceff296afc9363d0489d53cd63ed1689ed,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000030,00000030,P07919,91,7375f2271d453c37d53d0eabe7ac398b2033186e15f1aca708afd3790525ec57,5,folded,False,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000031,00000031,O43504,91,a64cd9408329e05ae215539aaefe230fb5c19469f9e42b25b41a33033b605d7b,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000032,00000032,A8MTZ0,92,86f9988236df578ef2592d6778510b4afa2ff4ba1535c32b1390cbe69779e883,5,ebi_mobidb_lite,True,0.239130437374115,experimentally_curated_partially_disordered,True,DP04116,A8MTZ0,37,0.40217391304347827,25,2
00000033,00000033,P62304,92,8d3f2bd5a7b27e55461d2983ba5168bd26af653c8b8c17e4e12adac633e55b12,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000034,00000034,P33763,92,bc8ff4392d1a5bb279960afdb2d757e82c83395f5d3a97865c9ee3bea629272c,5,folded,,0.0,experimentally_curated_short_disorder,True,DP01552,P33763,15,0.16304347826086957,15,1
00000035,00000035,P80511,92,c903ef8262054b74c9b0b2237c3c1513dff55e0f912015ed0fdfa29929f4ed68,5,folded,False,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000036,00000036,O00626,93,b2aea46c316a3070e985a31466967f94e642ec729ddb15e0a29aa70cde4651b3,5,folded,False,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000037,00000037,P05109,93,5fb519363e7cef5984f83bfc1945fda06e6fc813339348ae7e3b28829df1ad5a,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000038,00000038,P23297,94,e380b7b66070d9c5ebf72cde7429d83c7d6816b4edaee3da1ee99be48b18441f,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000039,00000039,O95777,96,7da3a9cc9349e85075d03f8139df901835d634542526b673c8f489c7566579e0,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000040,00000040,2OCT,97,7307aada7658787a00c3dbf06b28bb5138ae9ac546bff7ac84c7a18fa3e1de46,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000041,00000041,A6NF83,97,21a4565ada232cd91dde68e7073c6b34fb28bb78aa2041030652abb7cec9a5f7,5,ebi_mobidb_lite,True,0.22680412232875824,experimentally_curated_fully_disordered,True,DP01159,A6NF83,97,1.0,97,3
00000042,00000042,P61927,97,4c3fcaec6e47af7897c4e0e68fdac7a85b74d027914c24b0ea9b6590ab35c329,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
00000043,00000043,P03901,98,9099050d0625129c12efcef0b583df5096e05f22bc7fe2133a42b9f328f3848d,5,folded,,0.0,no_disorder_evidence,False,,,0,0.0,0,0
